n_queries,drift_tv,drift_js,stance_shift,stance_div,stance_onesided,stance_gap,poison_in_topk,poison_share,in_pool_rate,mean_score,attack,retriever,defense,epsilon,poison_rate,backbone
48.0,0.20625000000000002,0.1579679564544699,0.43611111111111117,0.24024479664139445,0.43611111111111117,0.5416666666666666,0.6458333333333334,0.425,0.04583333333333334,1.161437546087127,template,st,multi_query,,0.02,gte-large
48.0,0.17499999999999996,0.18642761050078485,0.5,0.31127812445913283,0.5,0.0,0.375,0.375,0.06666666666666667,-1.0293805297926786,template,st,manifold,,0.02,gte-large
48.0,0.0625,0.07142857142857142,0.5,0.31127812445913283,0.5,nan,0.5,0.5,0.041666666666666664,0.9019577726721764,template,st,repr_group,1.0,0.02,gte-large
48.0,0.1375,0.09583048518881929,0.5,0.31127812445913283,0.5,0.8,0.5,0.5,0.037500000000000006,0.9015959829092027,template,st,repr_group,0.0,0.02,gte-large
48.0,0.125,0.14285714285714285,0.5,0.31127812445913283,0.5,nan,0.5625,0.5625,0.041666666666666664,0.9019220508635044,template,st,repr_both,1.0,0.02,gte-large
48.0,0.10000000000000002,0.09970111442881131,0.47142857142857136,0.28956534105208576,0.47142857142857136,1.0,0.5625,0.525,0.041666666666666664,0.901942551881075,template,st,repr_both,0.0,0.02,gte-large
48.0,0.41875,0.3531598411770108,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.7415845766663551,template_plus_projection,st,vanilla,,0.005,gte-large
48.0,0.3979166666666667,0.2873004820853203,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.385592211312793,template_plus_projection,st,multi_query,,0.005,gte-large
48.0,0.48125,0.4228620060410049,0.5,0.3112781244591328,0.5,1.0,1.0,1.0,0.0,-2.971891268016183,template_plus_projection,st,manifold,,0.005,gte-large
48.0,0.41875,0.3531598411770108,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.7415845468640327,template_plus_projection,st,repr_group,1.0,0.005,gte-large
48.0,0.4375,0.30267786589927403,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.7279554605484009,template_plus_projection,st,repr_group,0.0,0.005,gte-large
48.0,0.3499999999999999,0.35714285714285715,0.5,0.31127812445913283,0.5,nan,1.0,1.0,0.0,1.7317038059234617,template_plus_projection,st,repr_both,1.0,0.005,gte-large
48.0,0.39375000000000004,0.3180157067160933,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.7298958823084831,template_plus_projection,st,repr_both,0.0,0.005,gte-large
48.0,0.28125,0.286001391781276,0.5,0.3112781244591328,0.5,1.0,1.0,1.0,0.0,1.749705396592617,template_plus_projection,st,vanilla,,0.02,gte-large
48.0,0.3020833333333333,0.28929424438421003,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.3367510994565575,template_plus_projection,st,multi_query,,0.02,gte-large
48.0,0.40625,0.433251415358722,0.5,0.3112781244591328,0.5,1.0,1.0,1.0,0.0,-3.537926626639886,template_plus_projection,st,manifold,,0.02,gte-large
48.0,0.28125,0.286001391781276,0.5,0.3112781244591328,0.5,1.0,1.0,1.0,0.0,1.7497053906321522,template_plus_projection,st,repr_group,1.0,0.02,gte-large
48.0,0.3375000000000001,0.2649643170084092,0.5,0.3112781244591328,0.5,1.0,1.0,1.0,0.0,1.7480164930224416,template_plus_projection,st,repr_group,0.0,0.02,gte-large
48.0,0.28125,0.3076923076923077,0.5,0.3112781244591328,0.5,nan,1.0,1.0,0.0,1.7496735394001008,template_plus_projection,st,repr_both,1.0,0.02,gte-large
48.0,0.28125,0.277691272846999,0.5,0.3112781244591328,0.5,1.0,1.0,1.0,0.0,1.7489868015050887,template_plus_projection,st,repr_both,0.0,0.02,gte-large
