n_queries,drift_tv,drift_js,stance_shift,stance_div,stance_onesided,stance_gap,poison_in_topk,poison_share,in_pool_rate,mean_score,attack,retriever,defense,epsilon,poison_rate,backbone
48.0,0.46875,0.36973060534890223,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.00228758379817,template_plus_projection,st,repr_both,0.0,0.005,contriever
48.0,0.11875000000000001,0.037342688673306264,0.5,0.3112781244591328,0.5,0.7,0.75,0.75,0.0,6.393764404179389,template_plus_projection,bm25,vanilla,,0.02,
48.0,0.12604166666666666,0.034407151119031046,0.5,0.31127812445913283,0.5,0.6888888888888888,0.75,0.6583333333333333,0.012499999999999999,1.3467010662859427,template_plus_projection,bm25,multi_query,,0.02,
48.0,0.11875000000000001,0.037342688673306264,0.5,0.3112781244591328,0.5,0.7,0.75,0.75,0.0,6.393764404179389,template_plus_projection,bm25,repr_group,1.0,0.02,
48.0,0.18125,0.07965578449661734,0.5,0.3112781244591328,0.5,0.7692307692307693,0.75,0.75,0.0,6.383636671864987,template_plus_projection,bm25,repr_group,0.0,0.02,
48.0,0.40625,0.4126344449712049,0.5,0.3112781244591328,0.5,0.0,0.75,0.75,0.0,6.368445073393384,template_plus_projection,bm25,repr_both,1.0,0.02,
48.0,0.18125,0.11175062177825495,0.47435897435897434,0.2889275640871924,0.47435897435897434,0.782051282051282,0.75,0.75,0.0,6.378572805707786,template_plus_projection,bm25,repr_both,0.0,0.02,
48.0,0.36874999999999997,0.4012356224839385,0.5,0.3112781244591328,0.5,1.0,1.0,1.0,0.0,1.7336308062076569,template_plus_projection,st,vanilla,,0.02,gte-base
48.0,0.375,0.4012356224839385,0.5,0.3112781244591328,0.5,1.0,1.0,1.0,0.0,1.4048742356081145,template_plus_projection,st,multi_query,,0.02,gte-base
48.0,0.41874999999999996,0.44551009261590124,0.5,0.3112781244591328,0.5,1.0,1.0,1.0,0.0,-3.2848451391813662,template_plus_projection,st,manifold,,0.02,gte-base
48.0,0.36874999999999997,0.4012356224839385,0.5,0.3112781244591328,0.5,1.0,1.0,1.0,0.0,1.7336307987570763,template_plus_projection,st,repr_group,1.0,0.02,gte-base
48.0,0.41875,0.2977461839459243,0.5,0.3112781244591328,0.5,1.0,1.0,1.0,0.0,1.7297950759530067,template_plus_projection,st,repr_group,0.0,0.02,gte-base
48.0,0.40625,0.46153846153846156,0.5,0.3112781244591328,0.5,nan,1.0,1.0,0.0,1.7329012066125873,template_plus_projection,st,repr_both,1.0,0.02,gte-base
48.0,0.40625,0.4316829764841968,0.5,0.3112781244591328,0.5,1.0,1.0,1.0,0.0,1.733019559085369,template_plus_projection,st,repr_both,0.0,0.02,gte-base
48.0,0.1875,0.21428571428571427,0.5,0.31127812445913283,0.5,nan,1.0,1.0,0.0,1.0412752032279968,template_plus_projection,st,vanilla,,0.02,contriever
48.0,0.23333333333333336,0.21982252214530648,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.3437467096318383,template_plus_projection,st,multi_query,,0.02,contriever
48.0,0.28750000000000003,0.29163515302364595,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,-8.175057706236325,template_plus_projection,st,manifold,,0.02,contriever
48.0,0.1875,0.21428571428571427,0.5,0.31127812445913283,0.5,nan,1.0,1.0,0.0,1.0412752032279968,template_plus_projection,st,repr_group,1.0,0.02,contriever
48.0,0.375,0.2644018168720403,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.0345210269093512,template_plus_projection,st,repr_group,0.0,0.02,contriever
48.0,0.5625,0.5942389242850765,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.0330656908452511,template_plus_projection,st,repr_both,1.0,0.02,contriever
48.0,0.4375,0.36866728559406653,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.0363563485443592,template_plus_projection,st,repr_both,0.0,0.02,contriever
