n_queries,drift_tv,drift_js,stance_shift,stance_div,stance_onesided,stance_gap,poison_in_topk,poison_share,in_pool_rate,mean_score,attack,retriever,defense,epsilon,poison_rate
16.0,0.38749999999999996,0.2372867657131692,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.6965185552835464,template_plus_projection,st,repr_group,1.0,0.005
16.0,0.38749999999999996,0.2372867657131692,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.6965185552835464,template_plus_projection,st,repr_group,0.25,0.005
16.0,0.39375,0.19886357491433035,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.6914348527789116,template_plus_projection,st,repr_group,0.0,0.005
16.0,0.3125,0.10871933368596631,0.1875,0.11672929667217481,0.1875,1.0,1.0,0.8500000000000001,0.05,1.5558375112712384,template_plus_projection,st,repr_both,1.0,0.005
16.0,0.39375,0.18465903384902102,0.5,0.31127812445913283,0.5,0.38461538461538464,1.0,0.8500000000000001,0.05,1.5576196141541006,template_plus_projection,st,repr_both,0.25,0.005
16.0,0.39375,0.18465903384902102,0.5,0.31127812445913283,0.5,0.38461538461538464,1.0,0.8500000000000001,0.05,1.5576196141541006,template_plus_projection,st,repr_both,0.0,0.005
16.0,0.15625,0.06548575458269755,0.5,0.31127812445913283,0.5,0.7692307692307693,0.75,0.725,0.05,6.360080188677049,template_plus_projection,bm25,vanilla,,0.02
16.0,0.16250000000000003,0.06867345903037526,0.5,0.31127812445913283,0.5,0.7307692307692307,0.75,0.7,0.05,1.3948322192619567,template_plus_projection,bm25,multi_query,,0.02
16.0,0.15625,0.06548575458269755,0.5,0.31127812445913283,0.5,0.7692307692307693,0.75,0.725,0.05,6.360080188677049,template_plus_projection,bm25,repr_group,1.0,0.02
16.0,0.15625,0.06548575458269755,0.5,0.31127812445913283,0.5,0.7692307692307693,0.75,0.725,0.05,6.360080188677049,template_plus_projection,bm25,repr_group,0.25,0.02
16.0,0.175,0.07413752538599301,0.5,0.31127812445913283,0.5,0.7692307692307693,0.75,0.725,0.037500000000000006,6.246691164063375,template_plus_projection,bm25,repr_group,0.0,0.02
16.0,0.30625,0.2990526198136311,0.43846153846153846,0.26451212942857,0.43846153846153846,0.0,0.75,0.6375,0.1,6.141274108175278,template_plus_projection,bm25,repr_both,1.0,0.02
16.0,0.21250000000000002,0.16249363650930662,0.4743589743589744,0.28892756408719256,0.4743589743589744,0.7222222222222223,0.75,0.65,0.0875,6.19601793183385,template_plus_projection,bm25,repr_both,0.25,0.02
16.0,0.17500000000000002,0.0700891127000198,0.4230769230769231,0.24422644334331178,0.4230769230769231,0.6282051282051283,0.75,0.6375000000000001,0.0875,6.20803470354482,template_plus_projection,bm25,repr_both,0.0,0.02
16.0,0.30625,0.2031550112715323,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.729969471693039,template_plus_projection,st,vanilla,,0.02
16.0,0.30000000000000004,0.19665212838351495,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.402558354749336,template_plus_projection,st,multi_query,,0.02
16.0,0.46875,0.4982080577816539,0.5,0.3112781244591329,0.5,1.0,1.0,1.0,0.0,-2.6633396241487794,template_plus_projection,st,manifold,,0.02
16.0,0.30625,0.2031550112715323,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.7299694672226904,template_plus_projection,st,repr_group,1.0,0.02
16.0,0.30625,0.2031550112715323,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.7299694672226904,template_plus_projection,st,repr_group,0.25,0.02
16.0,0.35625,0.22912733734318294,0.5,0.3112781244591328,0.5,1.0,1.0,1.0,0.0,1.7169030070304871,template_plus_projection,st,repr_group,0.0,0.02
16.0,0.3625,0.3059040571899242,0.5,0.31127812445913283,0.5,nan,1.0,1.0,0.0,1.71779612749815,template_plus_projection,st,repr_both,1.0,0.02
16.0,0.32499999999999996,0.2594283342671056,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.7118168979883195,template_plus_projection,st,repr_both,0.25,0.02
16.0,0.33125000000000004,0.2257003283871144,0.5,0.3112781244591328,0.5,1.0,1.0,1.0,0.0,1.7072834834456443,template_plus_projection,st,repr_both,0.0,0.02
